"filename", "language", "JavaScript", "JSON", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\Phil\Desktop\zazie bot\commands\utility\servericon.js", "JavaScript", 19, 0, 0, 0, 0, 0, 19
"c:\Users\Phil\Desktop\zazie bot\commands\utility\serverinfo.js", "JavaScript", 44, 0, 0, 0, 0, 11, 55
"c:\Users\Phil\Desktop\zazie bot\commands\utility\userinfo.js", "JavaScript", 55, 0, 0, 0, 0, 16, 71
"c:\Users\Phil\Desktop\zazie bot\config.js", "JavaScript", 8, 0, 0, 0, 1, 1, 10
"c:\Users\Phil\Desktop\zazie bot\config.json", "JSON", 0, 11, 0, 0, 0, 6, 17
"c:\Users\Phil\Desktop\zazie bot\config.yml", "YAML", 0, 0, 3, 0, 0, 0, 3
"c:\Users\Phil\Desktop\zazie bot\config\bot.js", "JavaScript", 14, 0, 0, 0, 0, 2, 16
"c:\Users\Phil\Desktop\zazie bot\counts.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Phil\Desktop\zazie bot\database\db.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\Phil\Desktop\zazie bot\database\logging.json", "JSON", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Phil\Desktop\zazie bot\database\logonoff.json", "JSON", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Phil\Desktop\zazie bot\database\moderation.json", "JSON", 0, 32, 0, 0, 0, 0, 32
"c:\Users\Phil\Desktop\zazie bot\database\prefix.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Phil\Desktop\zazie bot\dontwork\addinvites.js", "JavaScript", 0, 0, 0, 0, 132, 0, 132
"c:\Users\Phil\Desktop\zazie bot\dontwork\ban.js", "JavaScript", 173, 0, 0, 0, 4, 37, 214
"c:\Users\Phil\Desktop\zazie bot\dontwork\case.js", "JavaScript", 112, 0, 0, 0, 4, 30, 146
"c:\Users\Phil\Desktop\zazie bot\dontwork\currentmutes.js", "JavaScript", 55, 0, 0, 0, 4, 22, 81
"c:\Users\Phil\Desktop\zazie bot\dontwork\disablechannel.js", "JavaScript", 263, 0, 0, 0, 1, 80, 344
"c:\Users\Phil\Desktop\zazie bot\dontwork\disableserver.js", "JavaScript", 217, 0, 0, 0, 1, 74, 292
