Date : 2023-09-15 17:48:57
Directory : c:\Users\Phil\Desktop\zazie bot
Total : 271 files,  42530 codes, 6858 comments, 6141 blanks, all 55529 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\punch.js                    | JavaScript |        100 |          0 |         10 |        110 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\rainbow.js                  | JavaScript |         48 |          0 |          2 |         50 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\rate.js                     | JavaScript |         49 |          2 |          5 |         56 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\respect.js                  | JavaScript |         10 |          0 |          1 |         11 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\roll.js                     | JavaScript |         96 |          0 |          7 |        103 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\say.js                      | JavaScript |         31 |          0 |         14 |         45 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\sepia.js                    | JavaScript |         51 |          0 |          3 |         54 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\shoot.js                    | JavaScript |         92 |          0 |         17 |        109 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\slap.js                     | JavaScript |        104 |          0 |         11 |        115 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\smile.js                    | JavaScript |         79 |          0 |         21 |        100 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\sphere.js                   | JavaScript |         93 |          0 |          8 |        101 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\topic.js                    | JavaScript |         10 |          0 |          2 |         12 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\triggered.js                | JavaScript |         48 |          0 |          2 |         50 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\wasted.js                   | JavaScript |         48 |          0 |          2 |         50 |
| c:\Users\Phil\Desktop\zazie bot\commands\fun\willsmith.js                | JavaScript |         87 |          0 |         14 |        101 |
| c:\Users\Phil\Desktop\zazie bot\commands\infos\contact.js                | JavaScript |         22 |          1 |          9 |         32 |
| c:\Users\Phil\Desktop\zazie bot\commands\infos\credit.js                 | JavaScript |         22 |          1 |          9 |         32 |
| c:\Users\Phil\Desktop\zazie bot\commands\infos\debug.js                  | JavaScript |         11 |          0 |          1 |         12 |
| c:\Users\Phil\Desktop\zazie bot\commands\infos\invite.js                 | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\Phil\Desktop\zazie bot\commands\infos\policy.js                 | JavaScript |         22 |          1 |          9 |         32 |
| c:\Users\Phil\Desktop\zazie bot\commands\invites\info.js                 | JavaScript |         89 |          1 |          4 |         94 |
| c:\Users\Phil\Desktop\zazie bot\commands\invites\invites.js              | JavaScript |         69 |          1 |          2 |         72 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\adopt.js               | JavaScript |        218 |          3 |         69 |        290 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\children.js            | JavaScript |         65 |          1 |         35 |        101 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\disown.js              | JavaScript |        452 |          2 |        185 |        639 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\divorce.js             | JavaScript |         80 |          2 |         40 |        122 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\family.js              | JavaScript |        318 |          3 |        149 |        470 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\forcedivorce.js        | JavaScript |         81 |          2 |         34 |        117 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\forcemarry.js          | JavaScript |        100 |          3 |         62 |        165 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\lovecalc.js            | JavaScript |         67 |         22 |         24 |        113 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\marry.js               | JavaScript |        124 |          2 |         54 |        180 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\runaway.js             | JavaScript |         99 |          3 |         50 |        152 |
| c:\Users\Phil\Desktop\zazie bot\commands\marriage\spouse.js              | JavaScript |         49 |          1 |         30 |         80 |
| c:\Users\Phil\Desktop\zazie bot\commands\messages\mlb.js                 | JavaScript |        216 |          8 |         39 |        263 |
| c:\Users\Phil\Desktop\zazie bot\commands\messages\msgs.js                | JavaScript |         43 |          0 |          8 |         51 |
| c:\Users\Phil\Desktop\zazie bot\commands\messages\wmlb.js                | JavaScript |        216 |          8 |         38 |        262 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\lock.js              | JavaScript |         42 |          0 |          7 |         49 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\purge.js             | JavaScript |         62 |          1 |         19 |         82 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\resetnick.js         | JavaScript |         48 |          5 |          9 |         62 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\role.js              | JavaScript |         81 |          0 |         10 |         91 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\setnick.js           | JavaScript |         68 |          5 |         10 |         83 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\slowmode.js          | JavaScript |         37 |          3 |         12 |         52 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\strike.js            | JavaScript |         49 |          0 |         16 |         65 |
| c:\Users\Phil\Desktop\zazie bot\commands\moderation\unlock.js            | JavaScript |         42 |          0 |          6 |         48 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\afk.js                  | JavaScript |         43 |          5 |          8 |         56 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\announce.js             | JavaScript |        239 |          0 |          8 |        247 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\avatar.js               | JavaScript |         20 |          0 |          7 |         27 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\banner.js               | JavaScript |         31 |          0 |          5 |         36 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\botinfo.js              | JavaScript |         73 |          0 |         19 |         92 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\commandsused.js         | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\embed.js                | JavaScript |         25 |          0 |          1 |         26 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\id.js                   | JavaScript |         29 |          0 |          7 |         36 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\invites.js              | JavaScript |         21 |          4 |          7 |         32 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\membercount.js          | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\members.js              | JavaScript |         59 |          0 |         22 |         81 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\ping.js                 | JavaScript |         16 |          1 |          1 |         18 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\prefix.js               | JavaScript |         64 |          1 |         18 |         83 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\roleinfo.js             | JavaScript |         31 |          0 |          6 |         37 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\servericon.js           | JavaScript |         19 |          0 |          0 |         19 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\serverinfo.js           | JavaScript |         44 |          0 |         11 |         55 |
| c:\Users\Phil\Desktop\zazie bot\commands\utility\userinfo.js             | JavaScript |         55 |          0 |         16 |         71 |
| c:\Users\Phil\Desktop\zazie bot\config.js                                | JavaScript |          8 |          1 |          1 |         10 |
| c:\Users\Phil\Desktop\zazie bot\config.json                              | JSON       |         11 |          0 |          6 |         17 |
| c:\Users\Phil\Desktop\zazie bot\config.yml                               | YAML       |          3 |          0 |          0 |          3 |
| c:\Users\Phil\Desktop\zazie bot\config\bot.js                            | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\Phil\Desktop\zazie bot\counts.json                              | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Phil\Desktop\zazie bot\database\db.js                           | JavaScript |          9 |          0 |          3 |         12 |
| c:\Users\Phil\Desktop\zazie bot\database\logging.json                    | JSON       |         11 |          0 |          0 |         11 |
| c:\Users\Phil\Desktop\zazie bot\database\logonoff.json                   | JSON       |          5 |          0 |          0 |          5 |
| c:\Users\Phil\Desktop\zazie bot\database\moderation.json                 | JSON       |         32 |          0 |          0 |         32 |
| c:\Users\Phil\Desktop\zazie bot\database\prefix.json                     | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\addinvites.js                   | JavaScript |          0 |        132 |          0 |        132 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\ban.js                          | JavaScript |        173 |          4 |         37 |        214 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\case.js                         | JavaScript |        112 |          4 |         30 |        146 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\currentmutes.js                 | JavaScript |         55 |          4 |         22 |         81 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\disablechannel.js               | JavaScript |        263 |          1 |         80 |        344 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\disableserver.js                | JavaScript |        217 |          1 |         74 |        292 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\duration.js                     | JavaScript |        113 |          4 |         31 |        148 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\enablechannel.js                | JavaScript |        374 |          0 |         97 |        471 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\enableserver.js                 | JavaScript |        202 |          0 |         40 |        242 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\filter.js                       | JavaScript |        183 |          4 |         77 |        264 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\inviterole.js                   | JavaScript |          0 |        180 |          0 |        180 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\kick.js                         | JavaScript |        136 |          4 |         30 |        170 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\level.js                        | JavaScript |          0 |         89 |          0 |         89 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\modlogs.js                      | JavaScript |         99 |          4 |         19 |        122 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\modstats.js                     | JavaScript |        257 |          4 |         69 |        330 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\clear-queue.js            | JavaScript |         17 |          0 |          6 |         23 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\filter.js                 | JavaScript |         25 |          0 |          9 |         34 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\loops.js                  | JavaScript |         31 |          0 |          4 |         35 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\lyrics.js                 | JavaScript |         37 |          0 |         10 |         47 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\nowplaying.js             | JavaScript |         23 |          0 |          8 |         31 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\pause.js                  | JavaScript |         17 |          0 |          5 |         22 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\play.js                   | JavaScript |         24 |          0 |          5 |         29 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\queue.js                  | JavaScript |         29 |          0 |         19 |         48 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\resume.js                 | JavaScript |         17 |          0 |          6 |         23 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\search.js                 | JavaScript |         15 |          0 |          3 |         18 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\shuffle.js                | JavaScript |         16 |          0 |          4 |         20 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\skip.js                   | JavaScript |         16 |          0 |          4 |         20 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\stop.js                   | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\volume.js                 | JavaScript |         18 |          0 |          6 |         24 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\music\w-filters.js              | JavaScript |         31 |          0 |          5 |         36 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\mute.js                         | JavaScript |        137 |          4 |         33 |        174 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\botDisconnect.js         | JavaScript |          3 |          0 |          0 |          3 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\channelEmpty.js          | JavaScript |          3 |          0 |          0 |          3 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\error.js                 | JavaScript |         21 |          0 |          0 |         21 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\noResults.js             | JavaScript |          3 |          0 |          0 |          3 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\playlistAdd.js           | JavaScript |          3 |          0 |          0 |          3 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\queueEnd.js              | JavaScript |          6 |          0 |          0 |          6 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\searchCancel.js          | JavaScript |          3 |          0 |          0 |          3 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\searchInvalidResponse.js | JavaScript |          6 |          0 |          0 |          6 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\searchResults.js         | JavaScript |         11 |          0 |          0 |         11 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\trackAdd.js              | JavaScript |          9 |          1 |          3 |         13 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\player\trackStart.js            | JavaScript |          9 |          1 |          1 |         11 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\ranks.js                        | JavaScript |          0 |         48 |          0 |         48 |
| c:\Users\Phil\Desktop\zazie bot\dontwork\reason.js                       | JavaScript |        125 |          4 |         31 |        160 |
